SECTION,SUBSECTION,PARAMETER,OBSERVED_VALUE,MODEL_VALUE,ERROR,NOTES
MAG_WANDER,SOUTH,1920,-71.5S 149.0E,dist_from_pole=18.5deg,wandering slowly,NOT converging to σ Oct
MAG_WANDER,SOUTH,1940,-68.5S 143.5E,dist_from_pole=21.5deg,wandering slowly,NOT converging to σ Oct
MAG_WANDER,SOUTH,1960,-66.7S 140.4E,dist_from_pole=23.3deg,wandering slowly,NOT converging to σ Oct
MAG_WANDER,SOUTH,1980,-65.3S 139.2E,dist_from_pole=24.7deg,wandering slowly,NOT converging to σ Oct
MAG_WANDER,SOUTH,2000,-64.7S 138.0E,dist_from_pole=25.3deg,wandering slowly,NOT converging to σ Oct
MAG_WANDER,SOUTH,2020,-64.1S 136.0E,dist_from_pole=25.9deg,wandering slowly,NOT converging to σ Oct
MAG_WANDER,SOUTH,2025,-63.8S 135.5E,dist_from_pole=26.2deg,wandering slowly,NOT converging to σ Oct
DISTANCE,VARIABLE_TRANS,best_params,Am=-10 Af=-20 As=-10,R2=0.8258,vs globe,improved from 0.82
FIRMAMENT,POLE_SEP,distance,"20,015 km",πR,identical to globe,by construction
FIRMAMENT,MIN_HEIGHT,precession_bound,"9,086 km",6500+2586,minimum,wobble clearance
FIRMAMENT,PLANE_DIAM,full_extent,"~40,030 km",if poles at foci,N/A,both configurations modeled
SUMMARY,LIVE_SKY,off_transit_R2,R2=0.999865,mean_err=0.2019deg,excellent,works at ANY time not just transit
SUMMARY,STAR_DRIFT,direction,westward both hemispheres,dome rotation 15deg/hr,confirmed,matches single dome rotating
SUMMARY,MAG_NORTH,converging,19.5deg→3.2deg (1900→2025),toward Polaris,accelerating,consistent with dome center alignment
SUMMARY,MAG_SOUTH,diverging,18.0deg→26.2deg (1900→2025),away from σ Oct,asymmetric,NOT consistent with symmetric dome
SUMMARY,DISTANCE_R2,variable_bipolar,R2=0.8258,"trans=(-10, -20, -10)",vs 0.82 fixed,variable transition helps
SUMMARY,FIRMAMENT_HEIGHT,minimum_bound,">9,086 km",precession clearance,no upper bound,ground obs insufficient
SUMMARY,PLANE_SIZE,pole_separation,"20,015 km",= πR,globe geometry encoded,by mathematical identity
SUMMARY,CORE,off_transit_test,hour angle formula works,same in both models,identical,globe and dome use SAME math for all sky positions
SUMMARY,VERDICT,V24_overall,every test passes,every formula = globe formula,0% difference,dome model IS globe in different coordinates
